SequenceID	Distribution	Number-species	Number-dupes	Ortho-age (MYA)	Ortho-age CI (MYA)	Clock-age
EFLN.Filo.1-Bathyergidae	Bathyergidae	2	2	34	28-40	
EFLN.Filo.2-Caviomorpha	Caviomorpha	4	1	NK	NK	
EFLN.Filo.3-Dipodidae	Dipodidae (descendant unranked)	2	1	34	28-39	
EFLN.Filo.4-Cricetidae	Cricetidae	10	3	31	18-48	
EFLN.Filo.5-Mus	Mus (descendant unranked)	8	5	8.3	6-10.6	
EFLN.Filo.6-Ctenomys	Ctenomys	1	1	NK	NK	
EFLN.Filo.7-Acomys	Acomys	1	2	NK	NK	
EFLN.Filo.8-Dipodomys	Dipodomys	1	2	NK	NK	
EFLN.Filo.9-Spalacidae	Spalacidae (descendant unranked)	2	5	33	22-44	
EFLN.Filo.10-Neotominae	Neotominae	1	5	NK	NK	
EFLN.Filo.21-Vespertilionidae	Vespertilionidae (descendant unranked)	7	3	31	27-36	
EFLN.Filo.31-Soricidae	Soricidae	1	2	NK	NK	
EFLN.Filo.41-Myrmecophagidae	Myrmecophagidae	2	1	13.1	10.1-16	
EFLN.Filo.51-Monodelphis	Monodelphis	1	1	NK	NK	
EFLN.Filo.61-Diprotodontia	Diprotodontia (descendant unranked)	3	13	35	31-40	
EFLP.Filo.1-Chinchillidae	Chinchillidae	1	1	NK	NK	
EFLP.Filo.2-Cricetidae	Cricetidae	11	7	31	18-48	
EFLP.Filo.2-Ctenomyidae	Ctenomyidae	1	1	NK	NK	
EFLP.Filo.3-Muridae	Muridae	9	3	28.6	23.1-34.0	
EFLP.Filo.4-AcoCah	Acomys cahirinus	1	1	NK	NK	
EFLP.Filo.5-Tarsiidae	Tarsiidae	1	1	NK	NK	
EFLP.Filo.6-Myotis	Myotis	4	1	20.8	10.8-32.8	
EFLP.Filo.7-Macropodidae	Macropodidae	1	2	NK	NK	
EFLP.Filo.8-Phascolarctos	Phascolarctos	1	4	NK	NK	
EFLH.Filo.1-Cricetidae	Cricetidae	5	1	31	18-48	
